t,Region,Urban,Rural
1971,1,24.97379,31.98016
1971,2,25.88403,33.24936
1971,3,21.69906,28.35981
1971,4,13.0523,17.35961
1971,5,11.50409,15.08303
1971,6,14.4678,18.81248
1971,7,10.31822,13.75848
1971,8,8.184629,11.11837
1971,9,5.038033,6.931768
1971,10,6.988162,9.249967
1971,11,28.56562,36.89235
1971,12,20.45495,27.02887
1971,13,17.07255,22.80908
1971,14,16.42129,21.62796
1971,15,14.59606,19.4147
1971,16,16.92427,22.0575
1971,17,12.04722,15.97119
1971,18,5.524786,7.529712
1971,19,13.24768,17.56797
1971,20,4.410579,6.026168
1971,21,8.156011,11.05897
1971,22,7.625756,10.42422
1971,23,16.53829,21.75228
1971,24,26.9343,34.20819
1971,25,10.52717,14.42244
1971,26,7.198364,9.896796
1971,27,0,0
1972,1,26.3268,33.71321
1972,2,27.85696,35.78314
1972,3,22.08279,28.83725
1972,4,13.18202,17.52254
1972,5,12.04002,15.76894
1972,6,14.61245,18.98777
1972,7,10.41346,13.87925
1972,8,8.133464,11.04264
1972,9,5.018945,6.903065
1972,10,7.074259,9.363346
1972,11,29.25548,37.77064
1972,12,20.64689,27.26257
1972,13,17.38694,23.21298
1972,14,16.53878,21.76418
1972,15,14.60934,19.42641
1972,16,17.00244,22.1401
1972,17,12.08522,16.00488
1972,18,5.511186,7.5086
1972,19,13.3908,17.73616
1972,20,4.525733,6.183494
1972,21,8.176329,11.08312
1972,22,7.605435,10.39131
1972,23,17.45433,22.93941
1972,24,27.95169,35.48835
1972,25,10.445,14.30354
1972,26,7.170863,9.851848
1972,27,0,0
1973,1,27.73884,35.52192
1973,2,29.53462,37.93759
1973,3,22.4734,29.32266
1973,4,13.23284,17.58045
1973,5,12.48377,16.33262
1973,6,14.58485,18.93903
1973,7,10.43351,13.89976
1973,8,8.190059,11.11323
1973,9,4.958107,6.816982
1973,10,7.371192,9.755754
1973,11,29.95398,38.65942
1973,12,20.84418,27.50291
1973,13,17.43909,23.26646
1973,14,16.98402,22.33102
1973,15,14.70244,19.54422
1973,16,17.24418,22.43517
1973,17,12.68017,16.77526
1973,18,5.511489,7.506444
1973,19,13.63733,18.04068
1973,20,4.650356,6.353756
1973,21,8.213059,11.12951
1973,22,7.619551,10.40547
1973,23,18.39096,24.15165
1973,24,29.5168,37.4627
1973,25,10.46456,14.32402
1973,26,7.137983,9.799597
1973,27,0,0
1974,1,28.7584,36.82804
1974,2,29.30531,37.64246
1974,3,22.58338,29.44117
1974,4,13.10568,17.40198
1974,5,13.15537,17.1927
1974,6,12.00905,15.58355
1974,7,11.38103,15.1553
1974,8,8.224352,11.15351
1974,9,5.019661,6.899183
1974,10,7.532767,9.968973
1974,11,30.13203,38.87601
1974,12,21.64744,28.54181
1974,13,17.65164,23.5337
1974,14,17.25237,22.66441
1974,15,14.75208,19.60421
1974,16,17.39707,22.61397
1974,17,13.56181,17.92286
1974,18,5.491741,7.476989
1974,19,13.84483,18.2928
1974,20,4.603302,6.289456
1974,21,8.243373,11.16717
1974,22,7.699248,10.50913
1974,23,18.22878,23.92005
1974,24,31.20485,39.5915
1974,25,10.48128,14.3406
1974,26,6.99014,9.58972
1974,27,0,0
1975,1,29.47376,37.74465
1975,2,29.42376,37.79404
1975,3,22.79116,29.6866
1975,4,13.24633,17.57909
1975,5,12.61326,16.46624
1975,6,12.07988,15.66459
1975,7,11.46056,15.25438
1975,8,8.112261,10.99533
1975,9,5.025875,6.905293
1975,10,7.592416,10.04729
1975,11,30.3442,39.13636
1975,12,21.98215,28.96178
1975,13,17.98588,23.96271
1975,14,17.54265,23.02589
1975,15,14.80718,19.6714
1975,16,17.56264,22.80867
1975,17,15.2478,20.12987
1975,18,5.515964,7.507403
1975,19,14.02846,18.51269
1975,20,4.625397,6.319635
1975,21,8.251067,11.17418
1975,22,7.742482,10.56295
1975,23,18.66467,24.47286
1975,24,31.87067,40.42216
1975,25,10.4355,14.27171
1975,26,7.073992,9.697793
1975,27,0,0
1976,1,30.56127,39.13669
1976,2,31.35987,40.27991
1976,3,22.89299,29.79454
1976,4,13.53416,17.95282
1976,5,13.67418,17.83237
1976,6,12.32231,15.96779
1976,7,11.62375,15.46484
1976,8,8.117067,10.99572
1976,9,5.036128,6.916881
1976,10,7.514946,9.944115
1976,11,30.9016,39.84505
1976,12,22.41414,29.5097
1976,13,18.56401,24.72172
1976,14,17.8809,23.45107
1976,15,14.87006,19.75133
1976,16,17.74505,23.02816
1976,17,14.98998,19.77277
1976,18,5.512442,7.499735
1976,19,14.29645,18.84256
1976,20,4.765058,6.507604
1976,21,8.287216,11.21844
1976,22,7.744339,10.55913
1976,23,18.92065,24.79374
1976,24,31.47188,39.91882
1976,25,10.47057,14.31021
1976,26,7.022191,9.619023
1976,27,0,0
1977,1,30.99964,39.69741
1977,2,32.85216,42.19562
1977,3,22.90306,29.78269
1977,4,13.97454,18.52846
1977,5,14.4296,18.79739
1977,6,12.78712,16.55839
1977,7,11.92146,15.854
1977,8,8.226504,11.13776
1977,9,5.087173,6.984469
1977,10,7.275731,9.62694
1977,11,31.2593,40.29588
1977,12,22.80696,30.00521
1977,13,18.64904,24.82369
1977,14,18.20916,23.86236
1977,15,14.9305,19.82798
1977,16,17.92284,23.2411
1977,17,15.64908,20.62467
1977,18,5.557155,7.557673
1977,19,14.4703,19.04752
1977,20,4.88113,6.663212
1977,21,8.335057,11.27849
1977,22,7.750017,10.56052
1977,23,19.347,25.33729
1977,24,32.14524,40.77538
1977,25,10.48751,14.32394
1977,26,7.04779,9.646339
1977,27,0,0
1978,1,31.50241,40.34058
1978,2,34.33803,44.10296
1978,3,23.36788,30.36143
1978,4,14.08267,18.66324
1978,5,14.4116,18.75361
1978,6,12.84766,16.62489
1978,7,11.93108,15.85987
1978,8,8.244838,11.15639
1978,9,5.08364,6.977106
1978,10,7.213139,9.543492
1978,11,31.72219,40.88198
1978,12,23.34786,30.6946
1978,13,18.59202,24.73656
1978,14,18.55322,24.29355
1978,15,14.9945,19.90933
1978,16,18.10888,23.46418
1978,17,16.0786,21.17272
1978,18,5.587423,7.595934
1978,19,14.77749,19.42709
1978,20,5.10681,6.968246
1978,21,8.383908,11.33986
1978,22,7.832031,10.66588
1978,23,19.95306,26.11531
1978,24,32.40934,41.11288
1978,25,10.54791,14.39696
1978,26,7.120587,9.738177
1978,27,0,0
1979,1,31.82092,40.74776
1979,2,35.16371,45.16231
1979,3,24.07868,31.25817
1979,4,13.90068,18.41359
1979,5,15.15552,19.70003
1979,6,13.23969,17.11976
1979,7,12.27155,16.30533
1979,8,8.267148,11.18037
1979,9,5.048887,6.926919
1979,10,7.204326,9.531206
1979,11,32.26264,41.56765
1979,12,23.75315,31.20472
1979,13,18.373,24.43406
1979,14,18.69855,24.46388
1979,15,15.00991,19.92615
1979,16,18.19406,23.55609
1979,17,17.10881,22.51009
1979,18,5.546587,7.537541
1979,19,15.11045,19.83932
1979,20,5.376033,7.332408
1979,21,8.449291,11.42353
1979,22,7.858128,10.69502
1979,23,20.74401,27.13415
1979,24,32.4384,41.15225
1979,25,10.60394,14.46396
1979,26,7.188433,9.823124
1979,27,0,0
1980,1,31.9855,40.95783
1980,2,35.23932,45.25827
1980,3,25.01288,32.44275
1980,4,13.75516,18.21244
1980,5,15.81179,20.53018
1980,6,13.63894,17.62307
1980,7,12.40564,16.47629
1980,8,8.158972,11.02797
1980,9,5.015995,6.87932
1980,10,7.593729,10.04572
1980,11,32.50691,41.87138
1980,12,24.83364,32.60036
1980,13,18.02267,23.95728
1980,14,19.03913,24.88902
1980,15,15.07177,20.0046
1980,16,18.37862,23.77614
1980,17,17.66355,23.22003
1980,18,5.600605,7.608048
1980,19,15.09794,19.79726
1980,20,5.699858,7.770698
1980,21,8.504214,11.493
1980,22,7.868108,10.70221
1980,23,20.80373,27.19576
1980,24,32.52193,41.26069
1980,25,10.66551,14.53845
1980,26,7.106387,9.703285
1980,27,0,0
1981,1,31.93318,40.88176
1981,2,35.24446,45.2547
1981,3,25.6616,33.26288
1981,4,13.66064,18.08059
1981,5,15.35289,19.91315
1981,6,13.67178,17.65347
1981,7,12.1915,16.18444
1981,8,8.028625,10.84612
1981,9,4.999297,6.854304
1981,10,7.922814,10.479
1981,11,32.5364,41.90285
1981,12,24.52595,32.18255
1981,13,18.29748,24.27897
1981,14,19.38375,25.32063
1981,15,15.12756,20.07791
1981,16,18.55398,23.9905
1981,17,17.89554,23.50753
1981,18,5.613369,7.623333
1981,19,15.30072,20.0378
1981,20,6.05405,8.247255
1981,21,8.510312,11.49604
1981,22,8.153999,11.08171
1981,23,20.89499,27.30907
1981,24,33.28991,42.23957
1981,25,10.68155,14.55451
1981,26,7.120502,9.716303
1981,27,0,0
1982,1,30.88288,39.52833
1982,2,35.19807,45.18493
1982,3,25.10641,32.5222
1982,4,13.60073,17.99462
1982,5,15.46347,20.03491
1982,6,13.22624,17.0664
1982,7,12.14411,16.11411
1982,8,7.973833,10.76648
1982,9,5.011235,6.868554
1982,10,7.877729,10.41731
1982,11,32.64217,42.03253
1982,12,24.40561,32.01079
1982,13,18.48342,24.48163
1982,14,19.47908,25.42603
1982,15,15.12479,20.07347
1982,16,18.60347,24.04183
1982,17,16.6912,21.90916
1982,18,5.597365,7.599554
1982,19,15.59236,20.39365
1982,20,6.391617,8.700469
1982,21,8.565978,11.56601
1982,22,8.166695,11.08961
1982,23,21.39718,27.95925
1982,24,34.32273,43.55477
1982,25,10.67084,14.53415
1982,26,7.071788,9.643639
1982,27,0,0
1983,1,31.34947,40.11653
1983,2,37.18899,47.72987
1983,3,24.2222,31.35631
1983,4,13.70166,18.12141
1983,5,15.76732,20.40611
1983,6,12.87943,16.60727
1983,7,12.11274,16.06509
1983,8,7.919744,10.68787
1983,9,5.003385,6.855683
1983,10,7.901587,10.44679
1983,11,32.84111,42.28209
1983,12,24.58624,32.23372
1983,13,18.78195,24.83219
1983,14,19.75791,25.77044
1983,15,15.16325,20.12378
1983,16,18.74518,24.21208
1983,17,16.33647,21.42747
1983,18,5.643972,7.660771
1983,19,15.99671,20.8955
1983,20,6.855328,9.324585
1983,21,8.586352,11.58829
1983,22,8.247724,11.19023
1983,23,21.69559,28.34293
1983,24,34.58023,43.8862
1983,25,10.70799,14.57897
1983,26,6.999506,9.538959
1983,27,0,0
1984,1,32.26196,41.27488
1984,2,38.81732,49.80835
1984,3,24.40268,31.56907
1984,4,13.7627,18.19538
1984,5,16.53429,21.37474
1984,6,12.88978,16.60882
1984,7,12.16385,16.12544
1984,8,7.874101,10.62075
1984,9,4.961722,6.796506
1984,10,8.051145,10.64242
1984,11,33.06875,42.56849
1984,12,24.92682,32.66603
1984,13,19.23046,25.37914
1984,14,19.94358,25.99276
1984,15,15.17848,20.14324
1984,16,18.83759,24.31839
1984,17,16.44622,21.55518
1984,18,5.643554,7.658144
1984,19,16.37183,21.35756
1984,20,7.32455,9.955257
1984,21,8.621066,11.6299
1984,22,8.300097,11.25186
1984,23,21.95028,28.66932
1984,24,34.73775,44.09081
1984,25,10.72001,14.58955
1984,26,7.014668,9.553519
1984,27,0,0
1985,1,33.36185,42.67233
1985,2,40.40939,51.83926
1985,3,24.58543,31.78424
1985,4,13.7623,18.18808
1985,5,16.18667,20.9014
1985,6,12.58786,16.20811
1985,7,12.26612,16.25353
1985,8,7.932065,10.69337
1985,9,4.918821,6.735672
1985,10,7.60042,10.04465
1985,11,33.45195,43.05499
1985,12,25.22966,33.04845
1985,13,19.50313,25.6921
1985,14,19.75608,25.72855
1985,15,15.1028,20.04206
1985,16,18.73378,24.17125
1985,17,16.24012,21.26893
1985,18,5.661216,7.680048
1985,19,16.73403,21.80112
1985,20,8.039131,10.91822
1985,21,8.591906,11.58534
1985,22,8.365644,11.33124
1985,23,22.4401,29.30258
1985,24,34.80172,44.17671
1985,25,10.74388,14.61625
1985,26,6.976843,9.495951
1985,27,0,0
1986,1,34.06208,43.56472
1986,2,41.55191,53.29182
1986,3,24.05788,31.08231
1986,4,13.82049,18.25669
1986,5,16.08089,20.74236
1986,6,12.87918,16.57266
1986,7,12.11767,16.05112
1986,8,8.025031,10.81308
1986,9,4.881042,6.681279
1986,10,7.455935,9.848211
1986,11,34.07128,43.84451
1986,12,25.51398,33.40916
1986,13,19.99756,26.30576
1986,14,20.32878,26.45965
1986,15,15.20743,20.18388
1986,16,19.02347,24.53622
1986,17,15.70236,20.55407
1986,18,5.662946,7.68042
1986,19,17.19851,22.37344
1986,20,8.446082,11.46208
1986,21,8.548318,11.52106
1986,22,8.374714,11.33288
1986,23,22.87978,29.85968
1986,24,36.011,45.70671
1986,25,10.74143,14.60777
1986,26,6.921273,9.41394
1986,27,0,0
1987,1,34.86485,44.58809
1987,2,42.49409,54.48668
1987,3,23.82927,30.76701
1987,4,13.8035,18.22595
1987,5,15.48276,19.94878
1987,6,13.14946,16.90952
1987,7,11.91928,15.78271
1987,8,8.002935,10.77771
1987,9,4.903832,6.709808
1987,10,7.577926,10.00376
1987,11,34.62801,44.55317
1987,12,25.6968,33.63671
1987,13,20.7393,27.24219
1987,14,20.42653,26.57199
1987,15,15.20209,20.17977
1987,16,19.06518,24.58112
1987,17,15.61115,20.42412
1987,18,5.669757,7.687681
1987,19,17.64279,22.91716
1987,20,9.0885,12.32442
1987,21,8.592537,11.57513
1987,22,8.383053,11.33356
1987,23,23.44735,30.58283
1987,24,36.01397,45.70544
1987,25,10.74387,14.60595
1987,26,6.993778,9.506137
1987,27,0,0
1988,1,35.70014,45.65286
1988,2,43.48906,55.74849
1988,3,23.82295,30.73866
1988,4,14.11534,18.6292
1988,5,15.44934,19.88316
1988,6,12.97941,16.6799
1988,7,11.87501,15.7185
1988,8,8.021032,10.79649
1988,9,4.900012,6.701922
1988,10,7.809381,10.30355
1988,11,35.21746,45.30365
1988,12,25.464,33.32022
1988,13,20.75619,27.22479
1988,14,20.64564,26.84188
1988,15,15.21496,20.19982
1988,16,19.16019,24.69462
1988,17,15.39108,20.12576
1988,18,5.710553,7.741008
1988,19,18.17259,23.56936
1988,20,9.82266,13.30977
1988,21,8.670691,11.67485
1988,22,8.284949,11.19048
1988,23,24.13102,31.45639
1988,24,36.44964,46.25326
1988,25,10.72852,14.57996
1988,26,6.965624,9.461492
1988,27,0,0
1989,1,36.28581,46.39828
1989,2,44.07519,56.48564
1989,3,24.43229,31.50393
1989,4,14.14996,18.66639
1989,5,14.91161,19.16883
1989,6,12.53044,16.09222
1989,7,11.98579,15.85948
1989,8,7.979857,10.73551
1989,9,4.907403,6.709374
1989,10,7.855112,10.35809
1989,11,35.71511,45.93577
1989,12,25.50964,33.36813
1989,13,20.56191,26.9304
1989,14,19.81909,25.75261
1989,15,15.00631,19.92573
1989,16,18.77284,24.1865
1989,17,15.68159,20.49495
1989,18,5.732072,7.768184
1989,19,18.88396,24.45377
1989,20,9.947656,13.46884
1989,21,8.748927,11.77458
1989,22,8.360209,11.28163
1989,23,24.81248,32.32592
1989,24,37.15749,47.14626
1989,25,10.71672,14.5588
1989,26,7.077671,9.607227
1989,27,0,0
1990,1,36.20309,46.289
1990,2,44.47363,56.98185
1990,3,24.9677,32.17262
1990,4,13.97881,18.43218
1990,5,15.04403,19.31595
1990,6,12.29843,15.78357
1990,7,11.991,15.86072
1990,8,7.961767,10.70563
1990,9,4.907173,6.706408
1990,10,7.901589,10.41353
1990,11,36.07409,46.38928
1990,12,22.64579,29.61153
1990,13,21.67312,28.34368
1990,14,19.89301,25.83385
1990,15,15.14552,20.11353
1990,16,18.96594,24.42625
1990,17,15.21211,19.87095
1990,18,5.75789,7.801173
1990,19,19.5459,25.27036
1990,20,10.24687,13.86339
1990,21,8.879013,11.94397
1990,22,8.548392,11.52487
1990,23,25.45744,33.14677
1990,24,38.29357,48.58232
1990,25,10.7324,14.57499
1990,26,6.991484,9.483875
1990,27,0,0
1991,1,35.32039,45.14386
1991,2,44.24333,56.65166
1991,3,25.30237,32.58628
1991,4,14.02723,18.48466
1991,5,15.46604,19.83563
1991,6,12.71797,16.31157
1991,7,12.06858,15.95839
1991,8,7.965537,10.70533
1991,9,4.909587,6.707179
1991,10,7.683859,10.12135
1991,11,36.32702,46.7061
1991,12,21.63239,28.28318
1991,13,21.70598,28.36827
1991,14,18.82802,24.44835
1991,15,14.76211,19.61153
1991,16,18.56039,23.90502
1991,17,15.13422,19.76008
1991,18,5.753808,7.7939
1991,19,20.18183,26.07205
1991,20,10.83311,14.64272
1991,21,8.928774,12.0072
1991,22,8.654023,11.65549
1991,23,25.83753,33.62964
1991,24,37.90657,48.07789
1991,25,10.7599,14.60806
1991,26,7.022159,9.519649
1991,27,0,0
1992,1,35.42892,45.26579
1992,2,44.96628,57.5411
1992,3,25.64528,33.00988
1992,4,14.04222,18.49301
1992,5,15.26652,19.55723
1992,6,13.26147,16.99759
1992,7,12.03414,15.90791
1992,8,7.931029,10.65361
1992,9,4.913833,6.710454
1992,10,7.404448,9.748256
1992,11,36.53707,46.96763
1992,12,21.11955,27.60949
1992,13,21.87972,28.57671
1992,14,17.12425,22.23376
1992,15,14.93,19.84181
1992,16,17.22526,22.18643
1992,17,15.4978,20.22542
1992,18,5.751529,7.789073
1992,19,20.62279,26.62047
1992,20,11.98947,16.19052
1992,21,9.00751,12.10934
1992,22,8.695429,11.69946
1992,23,26.17746,34.05986
1992,24,37.97095,48.14598
1992,25,10.76051,14.60463
1992,26,6.888559,9.332823
1992,27,0,0
1993,1,35.63491,45.51196
1993,2,45.55783,58.26072
1993,3,25.59044,32.92112
1993,4,13.99996,18.42596
1993,5,15.57726,19.93167
1993,6,14.03236,17.97379
1993,7,11.96457,15.81104
1993,8,7.909344,10.61916
1993,9,4.923928,6.721715
1993,10,7.363441,9.689239
1993,11,36.46559,46.86721
1993,12,20.99724,27.44644
1993,13,22.58088,29.47316
1993,14,15.87593,20.61087
1993,15,14.69222,19.53294
1993,16,17.23278,22.19714
1993,17,15.1384,19.74718
1993,18,5.774317,7.818188
1993,19,21.0969,27.21041
1993,20,13.28884,17.92836
1993,21,9.120133,12.25697
1993,22,8.862296,11.91199
1993,23,26.33747,34.25568
1993,24,38.11469,48.31447
1993,25,10.74735,14.58253
1993,26,6.734293,9.118251
1993,27,0,0
1994,1,36.24053,46.26796
1994,2,46.20058,59.04414
1994,3,25.93344,33.3437
1994,4,14.0634,18.49799
1994,5,16.19197,20.69285
1994,6,14.24727,18.23677
1994,7,12.03302,15.89655
1994,8,7.893327,10.59235
1994,9,4.90584,6.694512
1994,10,7.475339,9.831362
1994,11,36.73825,47.209
1994,12,21.35872,27.91572
1994,13,21.82591,28.46897
1994,14,15.4362,20.03799
1994,15,14.23795,18.93591
1994,16,17.29244,22.27501
1994,17,15.43724,20.12758
1994,18,5.800065,7.851298
1994,19,21.83521,28.13947
1994,20,13.87247,18.69826
1994,21,9.280456,12.46859
1994,22,8.98841,12.06939
1994,23,26.69079,34.70266
1994,24,38.63217,48.95636
1994,25,10.73034,14.5552
1994,26,6.685007,9.046004
1994,27,0,0
1995,1,36.56569,46.66526
1995,2,46.63131,59.55499
1995,3,24.44617,31.41366
1995,4,14.15885,18.61197
1995,5,16.97293,21.66337
1995,6,14.27507,18.25986
1995,7,11.96007,15.79526
1995,8,7.910188,10.60967
1995,9,4.933607,6.72988
1995,10,7.740202,10.17439
1995,11,36.98597,47.51856
1995,12,21.69687,28.35442
1995,13,22.24059,28.9906
1995,14,15.29852,19.85724
1995,15,13.96634,18.58146
1995,16,17.21573,22.17719
1995,17,15.31384,19.95728
1995,18,5.842433,7.906888
1995,19,22.76493,29.31301
1995,20,15.03769,20.24994
1995,21,9.400278,12.62568
1995,22,9.189638,12.32724
1995,23,26.93835,35.01176
1995,24,40.0347,50.71898
1995,25,10.75215,14.58053
1995,26,6.728094,9.098774
1995,27,0,0
1996,1,37.08445,47.29701
1996,2,47.16445,60.19741
1996,3,24.48842,31.45541
1996,4,14.37505,18.88585
1996,5,17.1923,21.91532
1996,6,14.42119,18.43565
1996,7,12.02406,15.8756
1996,8,7.925798,10.62473
1996,9,4.950861,6.75142
1996,10,7.931079,10.41994
1996,11,37.3068,47.92065
1996,12,22.35403,29.21287
1996,13,22.96488,29.91674
1996,14,15.08721,19.58117
1996,15,13.87796,18.46829
1996,16,17.09254,22.01944
1996,17,15.51109,20.20529
1996,18,5.909287,7.99554
1996,19,23.38409,30.10213
1996,20,16.26821,21.88475
1996,21,9.50829,12.76573
1996,22,9.382595,12.56979
1996,23,27.26133,35.42666
1996,24,40.9579,51.86826
1996,25,10.78098,14.61483
1996,26,6.816355,9.213513
1996,27,0,0
1997,1,38.2391,48.73781
1997,2,47.68629,60.82385
1997,3,25.03743,32.14768
1997,4,14.56943,19.13077
1997,5,17.3926,22.14116
1997,6,14.88328,19.01472
1997,7,11.99687,15.83554
1997,8,7.9453,10.64498
1997,9,4.984264,6.794964
1997,10,8.052969,10.57463
1997,11,37.62811,48.32312
1997,12,22.79837,29.79322
1997,13,23.71815,30.87938
1997,14,15.24041,19.77819
1997,15,13.88569,18.483
1997,16,17.24152,22.2123
1997,17,15.00697,19.53981
