Region,Type,Area,Shape,Scale
1,Detached,Urban,51,16.4
1,Semi-detached,Urban,51,16.4
1,Appartments,Urban,51,16.4
1,High-rise,Urban,51,16.4
1,Detached,Rural,51,16.4
1,Semi-detached,Rural,51,16.4
1,Appartments,Rural,51,16.4
1,High-rise,Rural,51,16.4
2,Detached,Urban,77,26.8
2,Semi-detached,Urban,77,26.8
2,Appartments,Urban,77,26.8
2,High-rise,Urban,77,26.8
2,Detached,Rural,77,26.8
2,Semi-detached,Rural,77,26.8
2,Appartments,Rural,77,26.8
2,High-rise,Rural,77,26.8
3,Detached,Urban,56,18.4
3,Semi-detached,Urban,56,18.4
3,Appartments,Urban,56,18.4
3,High-rise,Urban,56,18.4
3,Detached,Rural,56,18.4
3,Semi-detached,Rural,56,18.4
3,Appartments,Rural,56,18.4
3,High-rise,Rural,56,18.4
4,Detached,Urban,60,20
4,Semi-detached,Urban,60,20
4,Appartments,Urban,60,20
4,High-rise,Urban,60,20
4,Detached,Rural,60,20
4,Semi-detached,Rural,60,20
4,Appartments,Rural,60,20
4,High-rise,Rural,60,20
5,Detached,Urban,100,36
5,Semi-detached,Urban,100,36
5,Appartments,Urban,100,36
5,High-rise,Urban,100,36
5,Detached,Rural,100,36
5,Semi-detached,Rural,100,36
5,Appartments,Rural,100,36
5,High-rise,Rural,100,36
6,Detached,Urban,61,20.4
6,Semi-detached,Urban,61,20.4
6,Appartments,Urban,61,20.4
6,High-rise,Urban,61,20.4
6,Detached,Rural,61,20.4
6,Semi-detached,Rural,61,20.4
6,Appartments,Rural,61,20.4
6,High-rise,Rural,61,20.4
7,Detached,Urban,60,20
7,Semi-detached,Urban,60,20
7,Appartments,Urban,60,20
7,High-rise,Urban,60,20
7,Detached,Rural,60,20
7,Semi-detached,Rural,60,20
7,Appartments,Rural,60,20
7,High-rise,Rural,60,20
8,Detached,Urban,60,20
8,Semi-detached,Urban,60,20
8,Appartments,Urban,60,20
8,High-rise,Urban,60,20
8,Detached,Rural,60,20
8,Semi-detached,Rural,60,20
8,Appartments,Rural,60,20
8,High-rise,Rural,60,20
9,Detached,Urban,60,20
9,Semi-detached,Urban,60,20
9,Appartments,Urban,60,20
9,High-rise,Urban,60,20
9,Detached,Rural,60,20
9,Semi-detached,Rural,60,20
9,Appartments,Rural,60,20
9,High-rise,Rural,60,20
10,Detached,Urban,60,20
10,Semi-detached,Urban,60,20
10,Appartments,Urban,60,20
10,High-rise,Urban,60,20
10,Detached,Rural,60,20
10,Semi-detached,Rural,60,20
10,Appartments,Rural,60,20
10,High-rise,Rural,60,20
11,Detached,Urban,63,21.2
11,Semi-detached,Urban,63,21.2
11,Appartments,Urban,63,21.2
11,High-rise,Urban,63,21.2
11,Detached,Rural,63,21.2
11,Semi-detached,Rural,63,21.2
11,Appartments,Rural,63,21.2
11,High-rise,Rural,63,21.2
12,Detached,Urban,78,27.2
12,Semi-detached,Urban,78,27.2
12,Appartments,Urban,78,27.2
12,High-rise,Urban,78,27.2
12,Detached,Rural,78,27.2
12,Semi-detached,Rural,78,27.2
12,Appartments,Rural,78,27.2
12,High-rise,Rural,60,20
13,Detached,Urban,60,20
13,Semi-detached,Urban,60,20
13,Appartments,Urban,60,20
13,High-rise,Urban,60,20
13,Detached,Rural,60,20
13,Semi-detached,Rural,60,20
13,Appartments,Rural,60,20
13,High-rise,Rural,60,20
14,Detached,Urban,60,20
14,Semi-detached,Urban,60,20
14,Appartments,Urban,60,20
14,High-rise,Urban,60,20
14,Detached,Rural,60,20
14,Semi-detached,Rural,60,20
14,Appartments,Rural,60,20
14,High-rise,Rural,60,20
15,Detached,Urban,60,20
15,Semi-detached,Urban,60,20
15,Appartments,Urban,60,20
15,High-rise,Urban,60,20
15,Detached,Rural,60,20
15,Semi-detached,Rural,60,20
15,Appartments,Rural,60,20
15,High-rise,Rural,60,20
16,Detached,Urban,60,20
16,Semi-detached,Urban,60,20
16,Appartments,Urban,60,20
16,High-rise,Urban,60,20
16,Detached,Rural,60,20
16,Semi-detached,Rural,60,20
16,Appartments,Rural,60,20
16,High-rise,Rural,60,20
17,Detached,Urban,60,20
17,Semi-detached,Urban,60,20
17,Appartments,Urban,60,20
17,High-rise,Urban,60,20
17,Detached,Rural,60,20
17,Semi-detached,Rural,60,20
17,Appartments,Rural,60,20
17,High-rise,Rural,60,20
18,Detached,Urban,60,20
18,Semi-detached,Urban,60,20
18,Appartments,Urban,60,20
18,High-rise,Urban,60,20
18,Detached,Rural,60,20
18,Semi-detached,Rural,60,20
18,Appartments,Rural,60,20
18,High-rise,Rural,60,20
19,Detached,Urban,60,20
19,Semi-detached,Urban,60,20
19,Appartments,Urban,60,20
19,High-rise,Urban,60,20
19,Detached,Rural,60,20
19,Semi-detached,Rural,60,20
19,Appartments,Rural,60,20
19,High-rise,Rural,60,20
20,Detached,Urban,39,11.6
20,Semi-detached,Urban,39,11.6
20,Appartments,Urban,39,11.6
20,High-rise,Urban,39,11.6
20,Detached,Rural,39,11.6
20,Semi-detached,Rural,39,11.6
20,Appartments,Rural,39,11.6
20,High-rise,Rural,39,11.6
21,Detached,Urban,50,16
21,Semi-detached,Urban,50,16
21,Appartments,Urban,50,16
21,High-rise,Urban,50,16
21,Detached,Rural,50,16
21,Semi-detached,Rural,50,16
21,Appartments,Rural,50,16
21,High-rise,Rural,50,16
22,Detached,Urban,60,20
22,Semi-detached,Urban,60,20
22,Appartments,Urban,60,20
22,High-rise,Urban,60,20
22,Detached,Rural,60,20
22,Semi-detached,Rural,60,20
22,Appartments,Rural,60,20
22,High-rise,Rural,60,20
23,Detached,Urban,34,9.6
23,Semi-detached,Urban,34,9.6
23,Appartments,Urban,34,9.6
23,High-rise,Urban,34,9.6
23,Detached,Rural,34,9.6
23,Semi-detached,Rural,34,9.6
23,Appartments,Rural,34,9.6
23,High-rise,Rural,34,9.6
24,Detached,Urban,83,29.2
24,Semi-detached,Urban,83,29.2
24,Appartments,Urban,83,29.2
24,High-rise,Urban,83,29.2
24,Detached,Rural,83,29.2
24,Semi-detached,Rural,83,29.2
24,Appartments,Rural,83,29.2
24,High-rise,Rural,83,29.2
25,Detached,Urban,60,20
25,Semi-detached,Urban,60,20
25,Appartments,Urban,60,20
25,High-rise,Urban,60,20
25,Detached,Rural,60,20
25,Semi-detached,Rural,60,20
25,Appartments,Rural,60,20
25,High-rise,Rural,60,20
26,Detached,Urban,60,20
26,Semi-detached,Urban,60,20
26,Appartments,Urban,60,20
26,High-rise,Urban,60,20
26,Detached,Rural,60,20
26,Semi-detached,Rural,60,20
26,Appartments,Rural,60,20
26,High-rise,Rural,60,20
